text,player_id,role,message_number,message_irrelevant,time_stamp,trial_id
a lethal object like a trumpet with a curly q,6,describer,1,FALSE,NA,303
five blocks,6,describer,1,FALSE,NA,304
four teepees,6,describer,1,FALSE,NA,305
a chandelier that would kill you if it fell on you,6,describer,1,FALSE,NA,306
curve with a ball,6,describer,1,FALSE,NA,307
antennae,6,describer,1,FALSE,NA,308
like the top of a piano,6,describer,1,FALSE,NA,309
a three pronged thing over some toes,6,describer,1,FALSE,NA,310
a potato,6,describer,1,FALSE,NA,311
some triangles pointing to the right,6,describer,1,FALSE,NA,312
the table with a half a dna strin it,6,describer,1,FALSE,NA,313
an arrow with an x in it,6,describer,1,FALSE,NA,314
a net with a plunger ocming out of it,6,describer,1,FALSE,NA,315
half of an eyeball looking downward,6,describer,1,FALSE,NA,316
a torpedo with a straw,6,describer,1,FALSE,NA,317
upside down astronaut,6,describer,1,FALSE,NA,318
looks like a rhino,6,describer,1,FALSE,NA,319
a bug looking thing,6,describer,1,FALSE,NA,320
"kind of a 3D picture, a big sphere with a little square in the middle",6,describer,1,FALSE,NA,321
"looks like tools, there are two of them, but different, they are crossing each other",6,describer,1,FALSE,NA,322
"two squiggly lines, they are white and black outlines, maybe looks kind of like french fries",6,describer,1,FALSE,NA,323
"on the top right, there is a big X and bottom left corner, there is a squiggles",6,describer,1,FALSE,NA,324
"a weird looking thing that has lots of arms, they are striped",6,describer,1,FALSE,NA,325
"a man looking one, maybe a japanese symbol, like light gray with a dot, and two one U shaped thing and the other upside down U shaped thing",6,describer,1,FALSE,NA,326
"looks like a starwith flames around it, there is a cross at the center of it",6,describer,1,FALSE,NA,327
bunch of bamboos all together,6,describer,1,FALSE,NA,328
"looks like a cat in the hat hat, it is striped with different shaded gray colors",6,describer,1,FALSE,NA,329
"hair, maybe ugly wig, or a shaggy hair",6,describer,1,FALSE,NA,330
"looks like an ameba, it is splited in half",6,describer,1,FALSE,NA,331
"a circle with concentric circles, maybe like a globe",6,describer,1,FALSE,NA,332
looks like a tape recorder,6,describer,1,FALSE,NA,333
like a flower or a dandelion,6,describer,1,FALSE,NA,334
the other dead language thing,6,describer,1,FALSE,NA,335
looks like a type of dead language symbol,6,describer,1,FALSE,NA,336
"a circle with four lines coming out of it, looks like an intersection kind of with a circle in the center",6,describer,1,FALSE,NA,337
looks like an eyeball with a spear coming out of it,6,describer,1,FALSE,NA,338
a hill with spaghetti noodles inside of it,6,describer,1,FALSE,NA,339
looks like a kitchen timer,6,describer,1,FALSE,NA,340
an upside down teepee,6,describer,1,FALSE,NA,341
"a bunch of layers, a thing with like hair on top like ribs",6,describer,1,FALSE,NA,342
looks like a bunch of legs,6,describer,1,FALSE,NA,343
looks like a pipe,6,describer,1,FALSE,NA,344
four eggs,6,describer,1,FALSE,NA,345
a honeycomb,6,describer,1,FALSE,NA,346
a circle with it looks like something broke inside of it,6,describer,1,FALSE,NA,347
"looks like a temp gauge, looks like a hill with a chimney coming out of it",6,describer,1,FALSE,NA,348
"looks like a pizza, a wheel or a pizza",6,describer,1,FALSE,NA,349
like a porcupine,6,describer,1,FALSE,NA,350
a black loop-de-loop,7,describer,1,FALSE,NA,351
"2 lines, that kind of looks like a wave, there is like one on top of the other, maybe like an equals sign",7,describer,1,FALSE,NA,352
"like a semicircle on the top, with a bar through it a triangle",7,describer,1,FALSE,NA,353
black it is a straight line with like a c on it,7,describer,1,FALSE,NA,354
"like a shell, it is like an oval with a bunch of ovals",7,describer,1,FALSE,NA,355
"like a white shape its shaded, its like maybe like a dinosaur",7,describer,1,FALSE,NA,356
"a circle one it looks like maybe it could have a paw print inside, its got like 4 circles inside the circle",7,describer,1,FALSE,NA,357
a pizza,7,describer,1,FALSE,NA,358
